aa_sub	n_saap	F	p	n_tissues	FDR	Significance
W to S	11	8.710344181487525	0.00789348000788237	2	0.12629568012611792	ns
Q to G	9	6.823149536408482	0.018870408167979025	2	0.1509632653438322	ns
A to T	3	1.0743982011016813	0.358501978625237	2	0.9178609539330341	ns
A to G	4	0.6322201348658373	0.4568342009030092	2	0.9178609539330341	ns
M to D	4	0.6228478552081103	0.4600310688587933	2	0.9178609539330341	ns
G to Q	4	0.3434390941476544	0.579212781393307	2	0.9178609539330341	ns
A to V	4	0.34281057470144227	0.579550812234096	2	0.9178609539330341	ns
V to A	3	0.29399531200934625	0.6164656476877157	2	0.9178609539330341	ns
T to D	3	0.18605015007636866	0.6884542663657418	2	0.9178609539330341	ns
T to A	3	0.128501560162144	0.7381094536367391	2	0.9178609539330341	ns
P to T	18	0.08924845641955194	0.7669531334944448	2	0.9178609539330341	ns
N to M	3	0.08205217134074239	0.7887594187580349	2	0.9178609539330341	ns
V to L	3	0.06783587632231994	0.8073724451532975	2	0.9178609539330341	ns
L to V	4	0.04322033787864239	0.8421880198293723	2	0.9178609539330341	ns
S to N	4	0.020848579156847596	0.8899201136402879	2	0.9178609539330341	ns
N to S	3	0.012054632847718625	0.9178609539330341	2	0.9178609539330341	ns
