AAS_type	n_obs	n_tissues	F	p	Significance	n_sig_pairs	Tukey_significant_pairs	acg_vs_fc	FDR
P to T	925	2	216.004744373624	4.288649750868997e-44	***	1	acg>fc (Δ=0.650, q=0.00000e+00, ***)	acg>fc (Δ=0.650, q=0.00000e+00, ***)	2.2300978704518782e-42
V to D	16	2	425.5978884319476	7.059493442589479e-12	***	1	fc>acg (Δ=0.371, q=0.00000e+00, ***)	fc>acg (Δ=0.371, q=0.00000e+00, ***)	1.8354682950732644e-10
R to F	16	2	134.13981366116414	1.4725980559369023e-08	***	1	acg>fc (Δ=0.476, q=0.00000e+00, ***)	acg>fc (Δ=0.476, q=0.00000e+00, ***)	2.552503296957297e-07
T to D	141	2	32.757383964403154	6.16797369678289e-08	***	1	acg>fc (Δ=0.510, q=0.00000e+00, ***)	acg>fc (Δ=0.510, q=0.00000e+00, ***)	8.018365805817757e-07
G to T	40	2	29.480915852809876	3.446687336270828e-06	***	1	fc>acg (Δ=0.281, q=0.00000e+00, ***)	fc>acg (Δ=0.281, q=0.00000e+00, ***)	3.584554829721661e-05
W to S	457	2	14.828906160567005	0.00013458941412861756	***	1	acg>fc (Δ=0.182, q=1.00000e-04, ***)	acg>fc (Δ=0.182, q=1.00000e-04, ***)	0.001151898333281364
T to Q	80	2	15.815308428928773	0.0001550632371724913	***	1	acg>fc (Δ=0.741, q=2.00000e-04, ***)	acg>fc (Δ=0.741, q=2.00000e-04, ***)	0.001151898333281364
Y to D	30	2	18.465610473155078	0.0001885464131395826	***	1	acg>fc (Δ=0.920, q=2.00000e-04, ***)	acg>fc (Δ=0.920, q=2.00000e-04, ***)	0.0012255516854072868
M to T	69	2	15.2295514743751	0.00022345479773923672	***	1	acg>fc (Δ=0.552, q=2.00000e-04, ***)	acg>fc (Δ=0.552, q=2.00000e-04, ***)	0.00129107216471559
V to M	33	2	17.105973573979878	0.00025000555998972124	***	1	acg>fc (Δ=1.649, q=3.00000e-04, ***)	acg>fc (Δ=1.649, q=3.00000e-04, ***)	0.0013000289119465503
G to N	24	2	18.474213754367288	0.0002912532171313532	***	1	acg>fc (Δ=0.647, q=3.00000e-04, ***)	acg>fc (Δ=0.647, q=3.00000e-04, ***)	0.0013768333900754878
Q to G	222	2	10.076365223760625	0.0017167548325393127	**	1	acg>fc (Δ=0.285, q=1.70000e-03, **)	acg>fc (Δ=0.285, q=1.70000e-03, **)	0.007143488670946625
V to T	25	2	12.470812588541374	0.0017858721677366561	**	1	acg>fc (Δ=0.446, q=1.80000e-03, **)	acg>fc (Δ=0.446, q=1.80000e-03, **)	0.007143488670946625
P to A	57	2	10.182020068047576	0.002344123520623319	**	1	acg>fc (Δ=0.971, q=2.30000e-03, **)	acg>fc (Δ=0.971, q=2.30000e-03, **)	0.008706744505172328
H to D	16	2	11.248564517252904	0.00472725560703827	**	1	fc>acg (Δ=0.073, q=4.70000e-03, **)	fc>acg (Δ=0.073, q=4.70000e-03, **)	0.01638781943773267
V to P	190	2	7.61677299098216	0.006355087062955077	**	1	acg>fc (Δ=0.408, q=6.40000e-03, **)	acg>fc (Δ=0.408, q=6.40000e-03, **)	0.020654032954604
T to S	60	2	7.247719830055339	0.009263281234431112	**	1	fc>acg (Δ=1.157, q=9.30000e-03, **)	fc>acg (Δ=1.157, q=9.30000e-03, **)	0.02833474259943634
M to V	74	2	6.605133756428541	0.012237759925549886	*	0		acg>fc (Δ=0.912, q=1.22000e-02, *)	0.03535352867381078
G to E	56	2	6.313727706982283	0.01499915715000574	*	0		acg>fc (Δ=0.994, q=1.50000e-02, *)	0.04105032483159466
G to S	93	2	5.877354651147457	0.01731354024180702	*	0		acg>fc (Δ=0.670, q=1.73000e-02, *)	0.04501520462869825
E to N	32	2	6.034886725085093	0.0200305016514105	*	0		fc>acg (Δ=0.413, q=2.00000e-02, *)	0.04959933742254029
